"INST
CODE",INSTITUTE NAME,PLACE,DIST,BRANCH, OC,BC-A,BC-B,BC-C,BC-D,SC,ST
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSE,26303,86999,57408,26303,65938,85977,95181
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,CSM,40918,108367,88878,40918,101397,113868,125450
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,ECE,52680,98439,112273,52680,112231,92750,125323
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,EEE,92254,92254,92254,109513,115206,92254,122491
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,MEC,118327,118327,118327,118327,126088,118327,126088
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CIV,97735,97735,113070,97735,112337,97735,125531
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSD,31109,67801,51843,34695,62238,86931,107400
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSE,20326,55820,38083,20326,33916,47872,58671
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSM,37677,70199,47394,71806,52112,82380,102662
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,CSO,41122,114424,63636,50141,69422,97353,119153
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,ECE,44763,113988,72768,44763,79430,114592,124263
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,EEE,61647,96263,121252,61647,103009,61647,125698
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,INF,30636,74607,53448,51445,61028,30636,106510
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,MEC,87035,87035,105039,87035,111188,89280,102640
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,CIV,107768,107768,111375,107768,113173,107768,121667
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,CSE,45328,116234,111927,89634,92385,117140,125588
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,CSM,32485,102582,101868,32485,97653,101939,125657
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,ECE,81301,107715,109555,81301,113830,81301,100975
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,EEE,91314,117547,96932,91314,115796,91314,123797
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,MEC,117856,117856,117856,117856,117856,117856,117856
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,AIM,104658,125725,104658,104658,111766,104658,125517
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,CIV,115304,115304,115304,115304,118728,115304,125523
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,CSE,53376,113367,110610,89312,93136,95081,94163
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,ECE,55807,109775,62583,55807,107610,104658,124067
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,EEE,45103,124933,125190,45103,106699,110560,126116
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,MIN,98018,98018,98018,98018,98018,98018,98018
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,CIV,68290,68290,95572,68290,93230,68290,125814
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,CSE,31766,105402,64880,76868,76001,77941,99756
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,CSM,57043,108158,95572,57043,93568,81276,122921
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,ECE,57591,103331,113498,101406,110535,110168,126070
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,EEE,86708,86708,97589,86708,122035,112584,125932
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,CSE,32678,105076,108126,117033,104262,93150,122778
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,CSM,67918,67918,112758,95231,117460,67918,119071
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,ECE,65785,115860,101735,65785,117920,65785,125382
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,PHD,79915,79915,79915,79915,79915,79915,79915
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,PHM,39904,39904,39904,39904,39904,39904,39904
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH
ACADEMY",HAYATHNAGAR,RR,CIV,91905,91905,91905,91905,92196,91905,91905
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH
ACADEMY",HAYATHNAGAR,RR,CSE,49897,88233,110867,54981,114972,110853,115795
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH
ACADEMY",HAYATHNAGAR,RR,CSM,93488,117120,117844,93488,118321,109517,102726
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH
ACADEMY",HAYATHNAGAR,RR,ECE,77987,103441,90468,77987,117152,77987,107932
AURG,"AURORAS SCIENTIFIC AND TECHNOLOGICAL
INSTITUTE",GHATKESAR,MDL,CSE,55984,118366,113217,90805,110218,116458,124888
AURG,"AURORAS SCIENTIFIC AND TECHNOLOGICAL
INSTITUTE",GHATKESAR,MDL,ECE,53473,103830,115239,53473,115580,94948,125205
AURG,"AURORAS SCIENTIFIC AND TECHNOLOGICAL
INSTITUTE",GHATKESAR,MDL,MEC,107589,107589,117174,107589,109638,107589,125424
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,CSC,38923,106498,110557,38923,114201,104594,124105
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,CSD,74588,112782,117353,84717,110891,118496,125834
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,CSE,66390,118104,99716,70768,117721,117444,125520
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,CSM,57220,117829,118507,57220,113278,114145,124950
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,ECE,99193,103920,118468,112166,117533,116030,122799
AURP,"AURORAS TECHNOLOGICAL AND  RESEARCH
INSTITUTE",PARVATHAPUR,MDL,EEE,92012,114550,107192,92012,118413,92012,125883
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSD,73002,114817,114086,73002,102153,90207,122331
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSE,54729,109611,110984,54729,91331,93378,125289
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSM,66624,108597,116526,66624,117505,108905,124696
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,ECE,78464,109067,117839,78464,99289,115916,125137
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,EEE,93677,93677,117698,93677,97579,93677,98432
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,CIV,82111,121854,121976,82111,117491,82111,121425
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,CSC,57291,100158,83904,57291,85490,102068,116370
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,CSD,50981,94063,80997,50981,80172,104134,95241
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,CSE,40052,85282,74074,107583,70465,85183,88913
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,CSM,57760,115233,79825,57760,86665,106329,112122
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,ECE,80109,117856,105645,80109,99711,93803,120586
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,MEC,124606,124606,124606,124606,124606,124606,124779
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,CIV,114575,114575,114575,114575,114575,114575,125212
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,CSC,47849,100067,93065,47849,83099,117507,122215
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,CSD,54478,97267,87824,82063,77497,103761,115640
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,CSM,49668,115082,96067,49668,94891,109097,123948
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,ECE,45341,115461,116174,87576,117141,95677,125476
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,EEE,86863,125487,125921,86863,116471,101065,119870
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,INF,45710,115234,106782,105551,99132,114686,124955
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,MEC,80078,80078,110205,80078,117979,80078,125476
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CIV,54370,111225,118445,54370,116762,54370,121952
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CSD,85746,98557,92038,85746,115232,116222,125610
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CSE,57264,105147,69180,95709,102628,103591,123405
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CSM,52402,95097,83297,75233,75759,52402,121355
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CSO,104911,105766,106422,104911,104911,111892,122870
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,CSW,74754,105496,103302,74754,101826,117503,104202
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,ECE,76894,118445,117108,93486,117470,107945,125308
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,EEE,95394,100429,118036,95394,116762,107969,121855
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,MEC,115954,115954,115954,115954,115954,115954,124272
BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,SAIDABAD,HYD,PHM,NA,NA,NA,NA,73513,NA,NA
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,CIV,118414,118414,118414,118414,118414,118414,123371
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,CSE,56694,94952,82430,56694,88252,56694,113808
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,CSM,72947,108132,119771,72947,108870,117546,124593
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,ECE,94952,125414,125749,125747,125800,94952,125788
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,EEE,115602,115602,115602,115602,117504,115602,115602
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,CIV,68573,115923,125266,86444,122335,68573,122301
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,CSD,80408,124389,124448,119354,124789,80408,121825
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,CSE,58723,95895,98352,58723,97677,96038,103201
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,CSM,86022,122832,123759,86022,124813,125554,123742
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,ECE,62546,79954,91304,62546,87235,113352,120827
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,EEE,78314,125218,121369,78314,122529,102114,125131
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,MEC,81162,81162,126139,81162,103135,81162,125282
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,MIN,87845,87845,123386,87845,124524,87845,89540
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,CSE,NA,NA,NA,NA,21487,NA,NA
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,CSM,NA,NA,NA,NA,25140,NA,NA
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,ECE,NA,NA,NA,NA,56977,NA,NA
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,EEE,NA,NA,NA,NA,92235,NA,NA
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,INF,NA,NA,NA,NA,32212,NA,NA
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,CIV,116665,116665,122901,116665,116665,116665,117576
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,CSD,73326,115500,104132,73326,116505,95052,125013
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,CSE,97011,117845,118352,97011,116008,117732,123420
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,CSM,114152,114152,118058,114152,118333,114152,125263
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,ECE,85582,117910,117698,85582,115282,85582,85582
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF
INSTNS",HAYATHNAGAR,RR,MEC,79759,79759,79759,79759,79759,79759,79759
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,AID,83796,83796,118058,83796,118119,109303,123471
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CIV,116538,116538,116538,116538,116538,116538,125387
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSC,72013,99277,108897,72013,113253,105392,124838
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSD,93826,108405,115075,93826,98346,93826,126058
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSE,53873,115159,117698,53873,115942,99446,125646
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSM,71895,91448,118442,71895,117095,118425,124077
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,CSW,92312,118174,116382,115235,105886,92312,125588
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,ECE,85582,117120,85582,85582,118363,85582,125398
BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,EEE,75427,117547,113470,75427,113925,75427,75427
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,AID,78139,116510,104946,78139,118086,78139,112952
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,CSE,54890,110201,112860,54890,107292,86596,125157
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,CSM,72229,110072,118545,72229,118050,117085,125582
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,ECE,88174,116573,118021,88174,118527,88174,123933
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,INF,44211,77800,72674,44211,95067,114447,84751
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,AID,11260,34978,17150,26282,19513,33695,40214
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,BME,61291,99150,106322,61291,107609,100945,120101
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CHE,84540,114975,114495,84540,104865,84540,125964
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CIV,50783,112012,117361,50783,107115,107388,122927
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CSB,11823,36390,19655,60402,18334,11823,37287
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CSD,10225,25341,14613,23025,14967,23335,35966
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CSE,8233,18227,12233,12975,12986,14774,30580
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,CSM,9477,21471,12904,9477,14242,19492,31869
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,ECE,17755,55505,33244,24262,33648,54352,68732
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,EEE,39154,99257,55351,55809,70913,115586,116988
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,INF,10612,26595,17650,10612,18734,23892,38992
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,MEC,55364,106233,94140,55364,106591,102419,124460
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,PHE,114975,114975,114975,114975,114975,114975,114975
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,BACHUPALLY,MDL,CSM,NA,NA,NA,NA,14346,NA,NA
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,BACHUPALLY,MDL,ECE,NA,NA,NA,NA,33540,NA,NA
BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,BACHUPALLY,MDL,EEE,NA,NA,NA,NA,79939,NA,NA
